utt_id	text
10_6218_1_102_02_211102-141607_bem_ddd_elicit_0	On the other side of the water there is a person
10_6218_3_102_02_211102-141607_bem_ddd_elicit_1	What is this person doing on the water?
12271_0_01_211024-150329_bem_142_elicit_0	This place is well built and has nice trees, what else is on this picture?
12271_2_01_211024-150329_bem_142_elicit_1	That's true this is a big place where people go to relax and it's made of metals like we have seen, what else is there?
12271_4_01_211024-150329_bem_142_elicit_2	You have said the truth, it has taught them a lot, and they have built a very big building that looks nice, so this is where people go to relax.
12287_0_01_211024-161200_bem_142_elicit_0	This picture is showing a place where there are a lot of people, do you think this is the place?
12287_4_01_211024-161200_bem_142_elicit_2	That's true, they look like they work for the same company, they are well dressed. Others are listening to music while others are pressing their phones, cleanliness is nice.
12288_0_01_211024-161913_bem_142_elicit_0	This picture shows a young man or woman smiling. Have you seen how he is smiling?
12288_2_01_211024-161913_bem_142_elicit_1	That's true, it's like he is feeling very fat, it's because it's a burden to bring him back here, he is very happy. What kind of clothes is he wearing?
12288_4_01_211024-161913_bem_142_elicit_2	You are right, that's what he is wearing, and what he is on is made strong because it is made with ropes tied with metals. It is very strong.
12289_0_01_211024-162130_bem_142_elicit_0	This picture is showing a young man and two elderly people, where are they?
12289_4_01_211024-162130_bem_142_elicit_2	That's true, that's how they are dressed and they are working very hard so that they can make some money.
12302_0_01_211024-174243_bem_142_elicit_0	This picture shows two parents, one is bending while the other is standing and looking down. Where are they?
12302_2_01_211024-174243_bem_142_elicit_1	That's true, they are working and they are wearing protective clothes, what kind of clothes are these two wearing?
12302_4_01_211024-174243_bem_142_elicit_2	It is very important to do physical work and it is very important to wear protective clothes as we work so that we do not put our lives in danger.
12358_2_01_211026-171934_bem_142_elicit_1	That's true, maybe they were playing a game and others are seated in a red umbrella with words on it and there are bicycles. Have you seen the vehicles?
12358_4_01_211026-171934_bem_142_elicit_2	You are right there are cars of different colors. There are also bicycles and in this place there are a lot of trees and houses that are not visible.
12362_0_01_211029-102642_bem_142_elicit_0	This picture shows a big vehicle with big tires and people in it. Have you seen who is on the vehicle?
12362_2_01_211029-102642_bem_142_elicit_1	That's true, he is on top of the car and the driver is young, have you seen the young driver?
12362_4_01_211029-102642_bem_142_elicit_2	That's true she looks young and her male parents are seated on the side looking outside and the place they are in has nice trees.
12372_0_01_211029-174324_bem_142_elicit_0	This picture shows big dogs that have the same color but one has a different color because it is white. Have you seen how big the dog is?
12372_2_01_211029-174324_bem_142_elicit_1	That's true they are very cold and they are very fat. This dog of the same color is looking and it has lifted its ears. Have you seen this dog that has its mouth open?
12380_0_01_211029-181909_bem_142_elicit_0	This picture shows umbrellas of different colors, some are red, others are blue and others are black. Where do you think this is?
12380_2_01_211029-181909_bem_142_elicit_1	That's true, it's like they came from somewhere when it was raining and they have lit their umbrellas so that they don't drip water. What else can you see?
12380_4_01_211029-181909_bem_142_elicit_2	That's true and there are coats and there is a young man who is guarding the umbrellas.
12418_0_01_211029-231206_bem_dcc_elicit_0	A beautiful dog with nice fur is in the ground playing. But have you seen what it has done?
12418_2_01_211029-231206_bem_dcc_elicit_1	This dog has nice and shiny fur on its neck, it has white fur on its mouth and white fur on its legs.
12418_4_01_211029-231206_bem_dcc_elicit_2	On the other side at the end of the ground there are people. It's like this is not the only dog. These people have come to watch this game.
12427_0_01_211030-080559_bem_dcc_elicit_0	People are playing a game of hitting the ball. Have you seen how the stadium is looking?
12427_2_01_211030-080559_bem_dcc_elicit_1	Have you seen how the one in front is kneeling as he tries to hit the ball with what he has in his hands?
12427_4_01_211030-080559_bem_dcc_elicit_2	That's true, the one behind wants to catch the ball, and there are a lot of people who have come to watch, many of them are dressed in black.
12434_0_01_211030-093813_bem_dcc_elicit_0	Two women are dancing and they are smiling and they look happy as they are dancing and there is a box on the floor where people are throwing money as they are passing.
12434_2_01_211030-093813_bem_dcc_elicit_1	On their side is a man wearing a red jersey with a white shirt inside and a red hat and a black trousers.
12434_4_01_211030-093813_bem_dcc_elicit_2	The buildings I have seen are a lot and they are beautiful, they have planted trees in the middle and the trees are not that big, they are just small.
12447_0_01_211101-110547_bem_dcc_elicit_0	My friend look at how this place is looking. Young men are in the ground playing rugby. Look closely.
12447_2_01_211101-110547_bem_dcc_elicit_1	I have seen. They are not wearing shirts. They are just wearing shorts of different colors. Some are black and others are red. But on the other side there is something else.
12447_4_01_211101-110547_bem_dcc_elicit_2	I have seen. This is a place where they play different games. That is why some are watching basketball while others are just watching other games.
12513_0_01_211102-085557_bem_142_elicit_0	This place is very nice and there is sand with big and small rocks and a big rock on the river. Have you seen the child?
12513_2_01_211102-085557_bem_142_elicit_1	Yes he is playing in the water, he wants to pass where there is water and he is stepping on the rocks. Have you seen where he is?
12513_4_01_211102-085557_bem_142_elicit_2	This is a nice place and there are a lot of trees that are close to each other.
12519_2_01_211102-092910_bem_142_elicit_1	That's true, they are playing a game and the other one has a cigarette in his mouth. What game are they playing?
12590_0_01_211103-013938_bem_dcc_elicit_0	A man is seated in a building and he has hair, would you like to have such hair?
12590_2_01_211103-013938_bem_dcc_elicit_1	That's true, and I love how the building is looking especially how the walls are looking, there doesn't seem to be any dirt anywhere.
12590_4_01_211103-013938_bem_dcc_elicit_2	Yes, he loves playing drums that's why he is sitting on a chair with drums, I love his short and shirt.
12630_0_01_211103-064309_bem_142_elicit_0	Two children, a boy and a girl are in a place where they have put toys, have you seen how this boy is swinging?
12630_2_01_211103-064309_bem_142_elicit_1	That's true, they are just having disagreements but it's clear that the dancer doesn't want to be carried away like the boy. What else can you see?
12630_4_01_211103-064309_bem_142_elicit_2	That's true that's how it's made and there are a lot of trees that are close to each other and where they have put the swing there are stones.
12639_2_01_211103-075858_bem_142_elicit_1	The cheque has words written on it saying baby food in the basket, have you seen what's written on it?
12639_4_01_211103-075858_bem_142_elicit_2	Yes let him be happy, I would also be happy if they gave me a cheque of this amount.
12654_0_01_211103-093146_bem_142_elicit_0	Is this person hurt? I think he has hurt himself because he is bleeding from his nose, has he just put it there?
12654_2_01_211103-093146_bem_142_elicit_1	I think it's blood or maybe he has hurt himself and that's how he looks, he looks happy and smiling.
12654_4_01_211103-093146_bem_142_elicit_2	I have seen and there is a notice behind that they are selling, if you are looking for books come here.
12667_0_01_211103-102342_bem_142_elicit_0	My friend I have never seen a dog like this in my life. Just look at how fat it is and they play it well. You can't talk about it's mouth. And just look at the tail and the color it has.
12667_4_01_211103-102342_bem_142_elicit_2	It is nice and well kept and they have planted nice and healthy grass.
12694_0_01_211103-145050_bem_dcc_elicit_0	What about this woman, what is she doing? She has something in her hands and she is wearing glasses. What is she doing?
12694_2_01_211103-145050_bem_dcc_elicit_1	You are right, but there are people watching her, there is a man taking a picture of her who has a tummy and is wearing something red inside.
12694_4_01_211103-145050_bem_dcc_elicit_2	No it's not a competition. It's like he is just showing them something. He is showing them how to use the machine.
12712_0_01_211103-155308_bem_dcc_elicit_0	Women are in a beautiful building wearing the same clothes. What do you think they are about to start doing?
12712_2_01_211103-155308_bem_dcc_elicit_1	That's true, that's why they are putting the song on the stand so that they can be looking at it.
12712_4_01_211103-155308_bem_dcc_elicit_2	Another thing I like is that this stage is nice and well kept.
12717_0_01_211103-160409_bem_dcc_elicit_0	People exercise their bodies in different ways, but these people on the picture are wearing shoes with metal bars. But have you seen what they are doing?
12717_2_01_211103-160409_bem_dcc_elicit_1	That's true, and they are all wearing helmets, bags and jerseys. Maybe this place is cold.
12717_4_01_211103-160409_bem_dcc_elicit_2	You are right, and the mountain they are climbing looks smooth and has sand.
12722_0_01_211103-161356_bem_dcc_elicit_0	My friend look at how beautiful this place is, where can you say this is?
12722_2_01_211103-161356_bem_dcc_elicit_1	You are right, they have even made a bridge and it looks like there is a ditch and have you seen that there are people walking?
12722_4_01_211103-161356_bem_dcc_elicit_2	That's true and this place has a lot of trees and big rocks.
12742_0_01_211103-165541_bem_a35_elicit_0	My friend come and see how they are competing riding horses. Have you seen how they are standing and riding the horses?
12742_2_01_211103-165541_bem_a35_elicit_1	That's true he is the one winning because he has pushed the horse so hard such that the horse that is running is in front of him.
12742_4_01_211103-165541_bem_a35_elicit_2	These riders have different colors, one has a white one and the other has a grey one and the riders are wearing different clothes.
12749_0_01_211103-171258_bem_a35_elicit_0	This woman is going somewhere, it is clear from the way she is walking and she is carrying a bag in her waist, it is clear from what she is wearing. Have you seen where she is going?
12749_2_01_211103-171258_bem_a35_elicit_1	There are no people in the road he is passing. He is just alone. There are only trees. Have you seen how they have decorated the wall?
12749_4_01_211103-171258_bem_a35_elicit_2	You are right, they have just painted it, I thought it was overgrown and there is a very tall building next to this wall.
12759_0_01_211103-173405_bem_a35_elicit_0	We are going to get you too, don't dress like this, I know you are hungry, can't you see that your friends have gone to eat, we are going to get you something to eat.
12759_2_01_211103-173405_bem_a35_elicit_1	That's why I'm telling you I will take you, let's not be shy, kids can't just go and take it and have fun, I will take you, do you hear me?
12759_4_01_211103-173405_bem_a35_elicit_2	I have seen. They are also enjoying themselves. They are eating together and talking and laughing. The other one is just alone.
12770_0_01_211103-175417_bem_a35_elicit_0	Come and see how clever these children are. I think even in your childhood you didn't do such things. I'm lying.
12770_2_01_211103-175417_bem_a35_elicit_1	Look at how you have started doing it too, you think I can't pass school but English passes me, hahahaha.
12770_4_01_211103-175417_bem_a35_elicit_2	I have seen, he is wearing a short, a grey shirt with red stripes and a black hat and he is looking on the side.
12773_0_01_211103-180324_bem_a35_elicit_0	This old man is sitting on a building and he is wearing clothes, a black shirt and a green trousers.
12773_2_01_211103-180324_bem_a35_elicit_1	That's true, it's like she was told to clap and we will give her something or she is watching something and clap.
12785_0_01_211103-184252_bem_a35_elicit_0	My friend come and see how he will hurt his friend, he slipped and hit his friend on the legs and his friend has jumped up.
12785_2_01_211103-184252_bem_a35_elicit_1	He will fall down, he has lifted him up and the one laying down wants to hit the ball.
12785_4_01_211103-184252_bem_a35_elicit_2	That's true it looks nice and these kids have taken their time so that they can exercise through playing football.
140_0_01_210927-174039_bem_dcc_elicit_0	A woman is holding food on a plate inside a shop.
140_2_01_210927-174039_bem_dcc_elicit_1	And he looks happy because he is even laughing as he is holding his plate.
140_4_01_210927-174039_bem_dcc_elicit_2	That's true and it looks clean, that's why they have written prices on the wall to help the buyers.
142_0_01_210928-111655_bem_dcc_elicit_0	A young man is riding a bicycle.
142_2_01_210928-111655_bem_dcc_elicit_1	This young man looks like he is in a cycling competition.
142_4_01_210928-111655_bem_dcc_elicit_2	No he can't fall. Just look at how he has bent as he is riding the bicycle. If he had fallen a long time ago he wouldn't have fallen.
143_0_01_210928-112242_bem_dcc_elicit_0	A man and a woman are in a dancing competition.
143_2_01_210928-112242_bem_dcc_elicit_1	It looks like they know how to dance from the way they are standing as they are dancing.
143_4_01_210928-112242_bem_dcc_elicit_2	Yes I have seen because even the man is standing in such a way that he can't fall.
149_0_01_210928-115147_bem_dcc_elicit_0	Five people are in a very cold place and they are wearing jerseys.
149_2_01_210928-115147_bem_dcc_elicit_1	Behind them there are vehicles that they use in cold places like this one they are in.
149_4_01_210928-115147_bem_dcc_elicit_2	I can see trees that are close to each other and these people are wearing thick shoes so that they don't get cold.
162_0_01_210928-124019_bem_dcc_elicit_0	Two men are on the river paddling.
162_2_01_210928-124019_bem_dcc_elicit_1	Have you seen how small the boats are?
162_4_01_210928-124019_bem_dcc_elicit_2	In case the boats were to sink, they have protective clothes so that they don't drown.
164_0_01_210928-125407_bem_dcc_elicit_0	Young men are in a sports field playing a game.
164_2_01_210928-125407_bem_dcc_elicit_1	That's true, they are wearing helmets so that their teeth don't get stuck in case they bump into each other.
164_4_01_210928-125407_bem_dcc_elicit_2	When playing this game they wear protective clothes because this game is very hard.
193_0_01_210928-180208_bem_9d4_elicit_0	A woman with a child on her laps is sitting at the entrance of the house.
193_2_01_210928-180208_bem_9d4_elicit_1	They are both looking somewhere, maybe they have seen something.
193_4_01_210928-180208_bem_9d4_elicit_2	That is why there is a flower on the entrance.
1_115_2_11_01_211031-113522_bem_cc3_elicit_1	Yes it's their tradition they are following.
1_115_4_11_01_211031-113522_bem_cc3_elicit_2	There is only one place to fetch water for the child, the girl is the one fetching the water and the woman is the one putting the bottles properly.
1_135_0_11_01_211031-121747_bem_cc3_elicit_0	A man is standing on a rock and he is on top of a building
1_135_2_11_01_211031-121747_bem_cc3_elicit_1	No, he has stretched his hands.
1_135_4_11_01_211031-121747_bem_cc3_elicit_2	A man is alone taking pictures.
1_3765_0_11_01_211103-115253_bem_cee_elicit_0	A little boy is on top of a building.
1_3765_2_11_01_211103-115253_bem_cee_elicit_1	He is looking at the people in the ground playing football.
1_3765_4_11_01_211103-115253_bem_cee_elicit_2	They are playing basketball.
1_3775_0_11_01_211105-195450_bem_cee_elicit_0	Two ladies are playing in the mud.
1_3775_2_11_01_211105-195450_bem_cee_elicit_1	Because of being in the mud, their bodies are dry and hard.
1_3775_4_11_01_211105-195450_bem_cee_elicit_2	He has even opened his mouth as he tries to fall.
1_3905_0_11_01_211106-210251_bem_cee_elicit_0	two people are in a flood, they are going into the tires
1_3905_2_11_01_211106-210251_bem_cee_elicit_1	the tyres have been put on the side of the river
1_3905_4_11_01_211106-210251_bem_cee_elicit_2	one man is wearing red clothes
1_3914_0_11_01_211106-211920_bem_cee_elicit_0	Two dogs, one with red fur and the other one with white fur on the head are fighting.
1_3914_2_11_01_211106-211920_bem_cee_elicit_1	The dog with white fur on the head has a big head and it is fat than the one with brown fur.
1_3914_4_11_01_211106-211920_bem_cee_elicit_2	The fighting dogs are not alone, behind them there are dogs with red fur that are seated.
1_3951_0_11_01_211107-083812_bem_cee_elicit_0	A dog with red fur is swimming in the water.
1_3951_2_11_01_211107-083812_bem_cee_elicit_1	The eyes and the mouth are black and the fur is white.
1_3951_4_11_01_211107-083812_bem_cee_elicit_2	The tail is tied even though it's not very visible.
1_3979_0_11_01_211107-202033_bem_cee_elicit_0	A man wearing a short sleeved shirt has jumped with his hands in the air.
1_3979_2_11_01_211107-202033_bem_cee_elicit_1	A man dressed in white has jumped and is holding a ball in his hands and all those dressed in black have lifted their hands up.
1_3979_4_11_01_211107-202033_bem_cee_elicit_2	it's true they are protecting him from putting the ball in the hole and everyone in the pitch is tall and black
1_3983_0_11_01_211107-202926_bem_cee_elicit_0	Three women are standing and smiling as they work even though there are green trees behind them.
1_3983_2_11_01_211107-202926_bem_cee_elicit_1	the one in the middle is watching how the women who are taking pictures are working and all three have brown hair
1_3983_4_11_01_211107-202926_bem_cee_elicit_2	there is an event and the women with papers are the ones leading the event that's why they are standing in front together with the ones taking pictures.
1_82_0_11_01_211030-105649_bem_cc3_elicit_0	young men are playing with a bicycle
1_82_4_11_01_211030-105649_bem_cc3_elicit_2	He is riding a bicycle without touching it.
206_0_01_210929-171424_bem_9d4_elicit_0	A lady is sitting on a chair in the dining room.
206_2_01_210929-171424_bem_9d4_elicit_1	In this room there are other chairs where people who want to come and eat can sit.
206_4_01_210929-171424_bem_9d4_elicit_2	The woman sitting is wearing a blue shirt and the cups on the table are white.
243_0_01_211013-173826_bem_dcc_elicit_0	A lot of soldiers, men and women are standing.
243_2_01_211013-173826_bem_dcc_elicit_1	But have you seen how they are all looking on their faces?
243_4_01_211013-173826_bem_dcc_elicit_2	The woman in front looks like she is just crying.
31_0_01_210926-162951_bem_72c_elicit_0	Two young boys are at the river.
31_2_01_210926-162951_bem_72c_elicit_1	No they are just playing a game of throwing stones.
31_4_01_210926-162951_bem_72c_elicit_2	They look dark because it is in the evening.
320_0_01_211015-233157_bem_9d4_elicit_0	A woman is near the river resting.
320_2_01_211015-233157_bem_9d4_elicit_1	Inside the river there are women and other people who are swimming.
320_4_01_211015-233157_bem_9d4_elicit_2	There are big rocks on the side of the river.
322_0_01_211015-233545_bem_9d4_elicit_0	A young boy is standing on top of a rock.
322_2_01_211015-233545_bem_9d4_elicit_1	He is also wearing a green short with black in it and white shoes and white socks.
322_4_01_211015-233545_bem_9d4_elicit_2	Yes I have seen. This place looks nice. There is no dirt on the ground. The trees look clean.
330_0_01_211015-235340_bem_9d4_elicit_0	A lady is in the kitchen.
330_2_01_211015-235340_bem_9d4_elicit_1	The room looks very nice because things are well arranged.
330_4_01_211015-235340_bem_9d4_elicit_2	It looks like this woman is being captured because she is looking in front and she is smiling.
335_0_01_211016-000139_bem_9d4_elicit_0	A man is on a motorbike carrying things on his back.
335_2_01_211016-000139_bem_9d4_elicit_1	The man is putting on a blue helmet.
335_4_01_211016-000139_bem_9d4_elicit_2	On the side of the road there are a lot of shops because there are buildings.
33_0_01_210926-163332_bem_72c_elicit_0	Two men are playing guitars.
33_2_01_210926-163332_bem_72c_elicit_1	Yes it has come to watch these men because they are musicians.
33_4_01_210926-163332_bem_72c_elicit_2	They are not cheering because they want everyone to listen to the song they are singing.
365_0_01_211016-103140_bem_9d4_elicit_0	A man and a woman are hugging.
365_2_01_211016-103140_bem_9d4_elicit_1	There are other people in this room, maybe there is a celebration.
365_4_01_211016-103140_bem_9d4_elicit_2	This man and the woman who are hugging each other are wearing similar clothes because they are both wearing white shirts.
388_0_01_211016-113009_bem_9d4_elicit_0	A dog is in a field jumping.
388_2_01_211016-113009_bem_9d4_elicit_1	Behind the dog there are people who are seated maybe they are writing something.
388_4_01_211016-113009_bem_9d4_elicit_2	These dogs look like they are competing that's why the ones behind are scoring.
398_0_01_211016-114711_bem_9d4_elicit_0	A young man is standing on the side of the railway.
398_2_01_211016-114711_bem_9d4_elicit_1	This man looks like he is fixing the car in front of him.
398_4_01_211016-114711_bem_9d4_elicit_2	And this place looks like they have built a beautiful white building.
403_2_01_211016-115907_bem_9d4_elicit_1	The ground looks very clean and there is no any dirt.
403_4_01_211016-115907_bem_9d4_elicit_2	There are trees in the ground and at a distance if I look closely I can see a vehicle passing.
404_0_01_211016-120112_bem_9d4_elicit_0	A dog is playing in a field.
404_2_01_211016-120112_bem_9d4_elicit_1	There is no one in this ground, the dog is just alone.
404_4_01_211016-120112_bem_9d4_elicit_2	And there is very nice grass because everything looks green.
443_0_01_211016-133120_bem_dcc_elicit_0	A person is holding something that is used in the hospital and has put something in it.
443_2_01_211016-133120_bem_dcc_elicit_1	And what he has put in this same thing he is holding is dripping on the table.
443_4_01_211016-133120_bem_dcc_elicit_2	This place looks like it is in the night because it looks dark.
448_0_01_211016-134415_bem_dcc_elicit_0	Two men are playing music.
448_2_01_211016-134415_bem_dcc_elicit_1	What about this other one with black hair, he has something around his neck.
448_4_01_211016-134415_bem_dcc_elicit_2	They look like they really know how to play their instruments or drums.
529_0_01_210929-144732_bem_81c_elicit_0	A woman is sitting on a chair pressing a computer.
529_2_01_210929-144732_bem_81c_elicit_1	It's like this woman is working on this computer that's why she looks so focused.
529_4_01_210929-144732_bem_81c_elicit_2	And that thing she is holding in her hands is called a mouse, it is used to control the computer.
539_0_01_210929-151753_bem_81c_elicit_0	A young man is riding a bicycle in the middle of buildings.
539_2_01_210929-151753_bem_81c_elicit_1	No, this finger has been written for a long time, the child can't even reach the top where the finger has been written.
539_4_01_210929-151753_bem_81c_elicit_2	They can pass but the car has to move away from him in order for him to be hit.
606_0_01_211005-105822_bem_dcc_elicit_0	A woman is cleaning her house.
606_2_01_211005-105822_bem_dcc_elicit_1	On the side of the table there are chairs where people can sit.
606_4_01_211005-105822_bem_dcc_elicit_2	The place where he is sweeping from looks clean and shiny.
629_0_01_211005-114932_bem_dcc_elicit_0	A woman is on top of a boat.
629_2_01_211005-114932_bem_dcc_elicit_1	It looks like this thing he is putting in the water is to help the boat not sink.
629_4_01_211005-114932_bem_dcc_elicit_2	I love the way the boat is looking, it looks clean and white.
653_0_01_211005-124702_bem_dcc_elicit_0	A man is playing a stringed instrument.
653_2_01_211005-124702_bem_dcc_elicit_1	This place looks like it has a lot of people because people are going in different directions.
653_4_01_211005-124702_bem_dcc_elicit_2	I have seen. This man doesn't seem to be paying attention to the one singing. It's like he has a lot on his mind.
654_0_01_211005-124859_bem_dcc_elicit_0	Three men are cleaning the road.
654_2_01_211005-124859_bem_dcc_elicit_1	Yes, the clothes they are wearing are for work because they have helmets to protect them in case a stone falls and they are wearing shoes to protect their feet.
654_4_01_211005-124859_bem_dcc_elicit_2	Yes I have seen because they are using it to clean the road.
659_0_01_211005-125805_bem_dcc_elicit_0	A dog is at the beach playing.
659_2_01_211005-125805_bem_dcc_elicit_1	There is not only sand but also mud because even the dog looks dirty because of the mud.
659_4_01_211005-125805_bem_dcc_elicit_2	It has been well trained. You can just tell by how well it has jumped.
66_0_01_210928-000942_bem_72c_elicit_0	Two men are watching the sun set by the river.
66_2_01_210928-000942_bem_72c_elicit_1	They are meant to brighten the path where they are walking.
66_4_01_210928-000942_bem_72c_elicit_2	It is in the evening that is why they are not seen.
689_0_01_211006-133608_bem_9d4_elicit_0	Four young men are sitting outside a building.
753_0_01_211011-170943_bem_6b0_elicit_0	A group of people is gathered listening to what the one in front is saying.
753_2_01_211011-170943_bem_6b0_elicit_1	This place where they are is cold that is why they are dressed like this.
753_4_01_211011-170943_bem_6b0_elicit_2	The shoes they are wearing are for sliding when they go to play in the snow.
814_0_01_211012-144256_bem_6b0_elicit_0	An old man is bowing to his friend who is threatening him with a cup of coffee.
814_2_01_211012-144256_bem_6b0_elicit_1	It looks like he is just being taught what to do when you want to hit someone.
814_4_01_211012-144256_bem_6b0_elicit_2	We can't know for sure, maybe his friend is just showing him what to do.
91_0_01_210929-005922_bem_72c_elicit_0	A group of people is looking at what is in front of them.
91_2_01_210929-005922_bem_72c_elicit_1	It looks like they are watching television.
91_4_01_210929-005922_bem_72c_elicit_2	He is leaning on the wall so that he can focus on what he is watching.
11_2532_0_111_01_211025-162828_bem_574_elicit_0	A person is playing a game in the gym.
11_2532_2_111_01_211025-162828_bem_574_elicit_1	He is trying to protect himself so that his opponents can reach the net and defeat him.
11_2532_4_111_01_211025-162828_bem_574_elicit_2	There is a goal post behind him so that they can defeat their opponents.
11_2607_0_111_01_211026-212318_bem_574_elicit_0	A black dog is facing upwards.
11_2607_2_111_01_211026-212318_bem_574_elicit_1	On the side of the yard there is a fence and a green gate.
11_2607_4_111_01_211026-212318_bem_574_elicit_2	It is looking at the ball in the air.
11_6291_0_111_01_211028-051106_bem_1e5_elicit_0	Three people are seated around a table in a certain place.
11_6291_2_111_01_211028-051106_bem_1e5_elicit_1	Why are they looking like this?
11_6291_4_111_01_211028-051106_bem_1e5_elicit_2	These people are sitting under an umbrella and they are at a resting place.
11_6301_0_111_01_211029-101312_bem_1e5_elicit_0	Two children are playing music.
11_6301_2_111_01_211029-101312_bem_1e5_elicit_1	He has a microphone where he is singing his song.
11_6301_4_111_01_211029-101312_bem_1e5_elicit_2	And these people are playing their music in the night.
11_6319_0_111_01_211029-111610_bem_1e5_elicit_0	A girl child wearing a jean trousers and a grey dress is standing outside playing a game.
11_6319_2_111_01_211029-111610_bem_1e5_elicit_1	He is playing a game of jumping over a rope that he is holding in his hands.
11_6319_4_111_01_211029-111610_bem_1e5_elicit_2	Near the vehicles there are buildings that look like houses.
11_6336_0_111_01_211030-044124_bem_1e5_elicit_0	A man wearing a jean trousers and a green shirt is sitting.
11_6336_2_111_01_211030-044124_bem_1e5_elicit_1	He has put his folded hand on top of his right hand as if he is explaining something.
11_6336_4_111_01_211030-044124_bem_1e5_elicit_2	Yes I have seen and there is grass where he is and he is seated near a tree.
11_6344_0_111_01_211030-051142_bem_1e5_elicit_0	Three women are standing and are wearing similar clothes, it seems they are at a place where they are celebrating a feast.
11_6344_2_111_01_211030-051142_bem_1e5_elicit_1	What is written on the papers they have in their hands?
11_6344_4_111_01_211030-051142_bem_1e5_elicit_2	Yes, the lady at the far end is paying attention to the words on the back of the paper as if she is thinking about something or someone.
11_6360_0_111_01_211030-095309_bem_1e5_elicit_0	Two people are seated on chairs and between them is a table with two black plates and a white plate.
11_6360_2_111_01_211030-095309_bem_1e5_elicit_1	Others are women who have a lot of chains on their necks and hands and they have a lot of rings on their hands and a watch.
11_6360_4_111_01_211030-095309_bem_1e5_elicit_2	No. The man is looking somewhere else and the woman is looking somewhere else and there is a bag where she is sitting.
11_6362_0_111_01_211030-100739_bem_1e5_elicit_0	Two women are seated down and in the building they are in there are wooden planks
11_6362_2_111_01_211030-100739_bem_1e5_elicit_1	There's a lady behind them peeping on the door trying to see what's outside with her eyes wide open.
